gsm,lib_id,title,donor,visit,tetramer,cell_type,qc_pass,timepoint,pb_group
GSM7953607,lib40456,2_DR0701_Baseline_lib40456,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953608,lib40457,2_DR0701_Baseline_lib40457,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953609,lib40458,2_DR0701_Baseline_lib40458,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953610,lib40459,2_DR0701_Baseline_lib40459,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953612,lib40461,2_DR0701_Baseline_lib40461,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953613,lib40462,2_DR0701_Baseline_lib40462,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953615,lib40464,2_DR0701_Baseline_lib40464,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953616,lib40465,2_DR0701_Baseline_lib40465,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953618,lib40467,2_DR0701_Baseline_lib40467,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953619,lib40468,2_DR0701_Baseline_lib40468,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953620,lib40469,2_DR0701_Baseline_lib40469,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953621,lib40470,2_DR0701_Baseline_lib40470,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953623,lib40472,2_DR0701_Baseline_lib40472,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953624,lib40473,2_DR0701_Baseline_lib40473,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953625,lib40474,2_DR0701_Baseline_lib40474,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953626,lib40475,2_DR0701_Baseline_lib40475,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953627,lib40476,2_DR0701_Baseline_lib40476,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953628,lib40477,2_DR0701_Baseline_lib40477,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953629,lib40478,2_DR0701_Baseline_lib40478,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953630,lib40479,2_DR0701_Baseline_lib40479,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953631,lib40480,2_DR0701_Baseline_lib40480,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953632,lib40481,2_DR0701_Baseline_lib40481,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953633,lib40482,2_DR0701_Baseline_lib40482,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953636,lib40934,1_DR0401_Baseline_lib40934,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953637,lib40935,1_DR0401_Baseline_lib40935,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953638,lib40936,1_DR0401_Baseline_lib40936,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953639,lib40937,1_DR0401_Baseline_lib40937,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953640,lib40938,1_DR0401_Baseline_lib40938,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953641,lib40939,1_DR0401_Baseline_lib40939,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953642,lib40940,1_DR0401_Baseline_lib40940,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953643,lib40941,1_DR0401_Baseline_lib40941,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953644,lib40942,1_DR0401_Baseline_lib40942,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953645,lib40943,1_DR0401_Baseline_lib40943,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953646,lib40944,1_DR0401_Baseline_lib40944,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953647,lib40945,1_DR0401_Baseline_lib40945,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953648,lib40946,1_DR0401_Baseline_lib40946,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953649,lib40947,1_DR0401_Baseline_lib40947,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953650,lib40948,1_DR0401_Baseline_lib40948,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953651,lib40949,1_DR0401_Baseline_lib40949,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953652,lib40950,1_DR0401_Baseline_lib40950,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953653,lib40951,1_DR0401_Baseline_lib40951,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953657,lib40955,1_DR0401_Baseline_lib40955,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953658,lib40956,1_DR0401_Baseline_lib40956,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953661,lib40959,1_DR0401_Baseline_lib40959,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953663,lib40961,1_DR0401_Baseline_lib40961,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953664,lib40962,1_DR0401_Baseline_lib40962,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953665,lib40963,1_DR0401_Baseline_lib40963,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953666,lib40964,1_DR0401_Baseline_lib40964,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953667,lib40965,1_DR0401_Baseline_lib40965,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953668,lib40966,1_DR0401_Baseline_lib40966,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953669,lib40967,1_DR0401_Baseline_lib40967,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953670,lib40968,1_DR0401_Baseline_lib40968,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953672,lib40970,1_DR0401_Baseline_lib40970,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953673,lib40971,1_DR0401_Baseline_lib40971,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953674,lib40972,1_DR0401_Baseline_lib40972,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953675,lib40973,1_DR0401_Baseline_lib40973,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953676,lib40974,1_DR0401_Baseline_lib40974,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953678,lib40977,1_DR0401_Baseline_lib40977,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953679,lib40978,1_DR0401_Baseline_lib40978,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953683,lib40982,1_DR0401_Baseline_lib40982,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953684,lib40983,1_DR0401_Baseline_lib40983,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953685,lib40985,1_DR0401_Baseline_lib40985,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953692,lib40993,1_DR0401_Baseline_lib40993,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953694,lib40996,1_DR0401_Baseline_lib40996,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953695,lib40997,1_DR0401_Baseline_lib40997,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953696,lib40998,1_DR0401_Baseline_lib40998,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953699,lib41001,1_DR0401_Baseline_lib41001,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953701,lib41003,1_DR0401_Baseline_lib41003,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953702,lib41004,1_DR0401_Baseline_lib41004,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953703,lib41005,1_DR0401_Baseline_lib41005,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953704,lib41006,1_DR0401_Baseline_lib41006,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953705,lib41007,1_DR0401_Baseline_lib41007,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953706,lib41008,1_DR0401_Baseline_lib41008,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953707,lib41009,1_DR0401_Baseline_lib41009,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953708,lib41010,1_DR0401_Baseline_lib41010,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953709,lib41011,1_DR0401_Baseline_lib41011,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953711,lib41013,1_DR0401_Baseline_lib41013,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953713,lib41015,1_DR0401_Baseline_lib41015,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953714,lib41016,1_DR0401_Baseline_lib41016,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953716,lib41018,1_DR0401_Baseline_lib41018,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953717,lib41019,1_DR0401_Baseline_lib41019,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953718,lib41020,1_DR0401_Baseline_lib41020,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953719,lib41021,1_DR0401_Baseline_lib41021,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953720,lib41022,1_DR0401_Baseline_lib41022,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953722,lib41024,1_DR0401_Baseline_lib41024,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953723,lib41025,1_DR0401_Baseline_lib41025,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953724,lib41026,1_DR0401_Baseline_lib41026,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953725,lib41027,1_DR0401_Baseline_lib41027,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953726,lib41028,1_DR0401_Baseline_lib41028,1,Baseline,DR0401,CD4 T cell,TRUE,D0,1_D0
GSM7953728,lib41100,2_DR0701_Day 14_lib41100,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953729,lib41101,2_DR0701_Day 14_lib41101,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953730,lib41102,2_DR0701_Day 14_lib41102,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953731,lib41103,2_DR0701_Day 14_lib41103,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953732,lib41104,2_DR0701_Day 14_lib41104,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953733,lib41105,2_DR0701_Day 14_lib41105,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953734,lib41106,2_DR0701_Day 14_lib41106,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953735,lib41107,2_DR0701_Day 14_lib41107,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953736,lib41108,2_DR0701_Day 14_lib41108,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953737,lib41109,2_DR0701_Day 14_lib41109,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953740,lib41112,2_DR0701_Day 14_lib41112,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953741,lib41113,2_DR0701_Day 14_lib41113,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953742,lib41114,2_DR0701_Day 14_lib41114,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953743,lib41115,2_DR0701_Day 14_lib41115,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953744,lib41116,2_DR0701_Day 14_lib41116,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
GSM7953745,lib41117,2_DR0701_Day 14_lib41117,2,Day 14,DR0701,CD4 T cell,TRUE,D14,2_D14
